ProteinGroup	NV-284-14D	NV-284-Pre	NV-285-14D	NV-285-Pre	NV-291-14D	NV-291-Pre	NV-292-14D	NV-292-Pre	SHAM-257-14D	SHAM-257-Pre	SHAM-258-14D	SHAM-258-Pre	SHAM-485-14D	SHAM-485-Pre	SHAM-523-14D	SHAM-523-Pre	SNI-259-14D	SNI-259-Pre	SNI-260-14D	SNI-260-Pre	SNI-509-14D	SNI-509-Pre	SNI-514-14D	SNI-514-Pre
1_GL0003708;2-1_GL0047644;2-3_GL0095440;2-6_GL0045970;5-2_GL0029612;G1-1A_GL0068928	3230.48	NA	NA	NA	2585.45	NA	4519.42	NA	NA	NA	NA	2918.07	2983.4	NA	10009.06267	NA	NA	NA	2010.6	NA	NA	NA	4613.56	2257.45
1_GL0003708;2-3_GL0095440;2-6_GL0045970;G1-1A_GL0068928	31007.9	NA	7487.42	6075.21	24109.3	11340.1	23261.8	4166.02	9859.57	7899.37	25516.7	36328	NA	10493.5	14766.3	13028.8	12756.2	NA	30317.1	67158.7	10912	NA	NA	19690.5
1_GL0004722;MH-0-3_GL0005477;S-Fe2_GL0170894	2099.009714	NA	1477.529456	1225.511831	2270.755348	3788.479988	3402.856329	2892.80847	5027.658802	7257.139221	9086.043893	1480.750288	7920.489343	4890.51369	1531.591391	5632.253265	5032.972701	2868.627639	9140.897792	NA	5803.279569	NA	2192.674629	2009.88181
1_GL0010544	NA	NA	NA	NA	4394.065719	NA	1363.63	NA	NA	NA	NA	NA	NA	NA	3441.45	NA	NA	NA	NA	NA	NA	NA	NA	3338.98
1_GL0010544;2-6_GL0010329	4559.094571	NA	NA	NA	4258.351858	NA	7809.630003	NA	NA	NA	NA	NA	NA	NA	8372.59243	NA	NA	2295.776534	NA	NA	NA	NA	NA	4526.167485
1_GL0011591;8-1_GL0061360	72221.7	NA	16952.6	NA	NA	16737.1	NA	NA	NA	NA	NA	18646.4	38408.6	NA	NA	NA	NA	NA	55481	NA	NA	NA	75049.5	NA
1_GL0021401	9680.18	5996.46	6174.14	5972.31	11730.8	NA	7869.93	NA	4129.43	NA	5023.06	NA	NA	NA	7907.6	NA	1907.07	NA	14162.4	3227.89	NA	NA	NA	12273.8
1_GL0021401;5-7_GL0063732;6-1_GL0074586;7-7_GL0030347;8-1_GL0083080;8-5_GL0050759;G1-5A_GL0199126;MH-6-5_GL0077975;S-Fe20_GL0017193;S-Fe20_GL0032209;S-Fe20_GL0132538;S-Fe9_GL0048599	15695.56676	12800.47251	14818.28014	15334.32179	31311.55362	15343.80811	30850.80557	13380.44558	23713.32996	7159.228179	13738.43965	16816.2979	36019.24372	26215.87292	50771.16427	18205.29714	24827.33712	11927.67262	22355.92092	14190.58009	14348.89834	14544.94391	43310.74477	31286.61452
1_GL0021401;5-7_GL0063732;8-1_GL0083080;Group2-4A_GL0123968;S-Fe20_GL0132538;S-Fe20_GL0145210;S-Fe9_GL0048599	28786.5	17063.9	16504.4	30021	71843.7	17779.6	42824.1	7556.52	20316.2	4371.94	42925.8	5063.72	50016.5	61611.2	152345	15524.2	19321.1	17652.3	156980	15269.9	5979.39	8501.14	80474.7	70862.4
1_GL0021401;6-1_GL0074586	3425.01	1643.76	NA	1892.4	4027.05	NA	1789.06	NA	NA	NA	2411.9	NA	2643.27	1981.34	5105.329122	NA	NA	NA	8288.07	NA	NA	NA	3736.272722	4227.29
1_GL0021401;6-1_GL0074586;8-1_GL0083080	12979.1	7400.53	NA	5217.64	18527.7	NA	20913	NA	13086.6	NA	NA	5032.46	16978.9	NA	19499.2	10865.1	7348.34	NA	21457.2	12331	NA	NA	22423.1	15765.5
1_GL0021401;6-1_GL0074586;8-1_GL0083080;S-Fe20_GL0132538;S-Fe9_GL0048599	15589.85703	8080.89	12878.2	4356.72	30385.7	6039.93	20307.47166	NA	10115.9	NA	22082.8	3759.99	27080	8308	61243.3	9526.46	13946.9	11978.08751	40035.25376	11854.2	3071.94	1682.59	38061.4	31001.2
1_GL0021401;6-1_GL0074586;8-1_GL0083080;S-Fe9_GL0048599	NA	NA	NA	NA	3413.671827	NA	1080.198105	NA	NA	NA	NA	NA	1127.723279	NA	3899.698032	NA	NA	NA	3223.702345	NA	NA	NA	3160.036628	2734.300466
1_GL0021401;6-1_GL0074586;S-Fe20_GL0132538;S-Fe9_GL0048599	18496.5	7778.66	12920.1	5767.91	18973.4	2394.93	16974.6	2011.21	13014.8	3175.57	20840.9	7156.31	16395.9	2330.77	49755.6	7953.15	15492.3	15723.7	26245.6	10046.9	NA	2539.11	32771.8	21288.8
1_GL0021401;8-1_GL0083080;S-Fe9_GL0048599	2526.19	1743.88	2036.23	1545.85	5136.98	NA	3870.79	NA	1744.45	NA	4135.23	NA	2091.63	1301.73	6862.19	1919.14	NA	NA	6938.1	1385.99	NA	NA	8215.03	6441.3
